Date,Location,PM2.5,NO2,SO2,AQI
2023-01-01 00:00:00,Ahmedabad,199.44,,40.31666666666667,109.44888888888887
2023-01-01 00:00:00,Bengaluru,239.48,,,239.48
2023-01-01 00:00:00,Bhopal,289.08,10.52,28.84,125.56599999999999
2023-01-01 00:00:00,Chandigarh,269.41,95.11,,192.71
2023-01-01 00:00:00,Chennai,208.69,,34.21,121.45
2023-01-01 00:00:00,Coimbatore,,15.25,,140.16333333333333
2023-01-01 00:00:00,Delhi,138.63,9.44,33.714999999999996,63.2
2023-01-01 00:00:00,Hyderabad,239.01,19.99,33.894999999999996,100.81062499999999
2023-01-01 00:00:00,Indore,252.26,,11.715,119.3272222222222
2023-01-01 00:00:00,Jaipur,128.05999999999997,71.77,,131.185
2023-01-01 00:00:00,Kochi,119.71499999999999,81.51,,116.70249999999999
2023-01-01 00:00:00,Kolkata,195.07333333333335,70.16,17.16,122.98866666666666
2023-01-01 00:00:00,Lucknow,100.21,,24.985,117.67375
2023-01-01 00:00:00,Madurai,195.26999999999998,47.35,13.25,85.28999999999999
2023-01-01 00:00:00,Mumbai,171.17,37.64,15.65,96.89999999999998
2023-01-01 00:00:00,Nagpur,219.77,20.78,,152.96666666666667
2023-01-01 00:00:00,Nashik,101.51,,6.84,78.51333333333334
2023-01-01 00:00:00,Patna,,48.165,11.765,107.97375
2023-01-01 00:00:00,Pune,291.87,,31.314999999999998,161.5925
2023-01-01 00:00:00,Surat,36.89,65.94,,62.463750000000005
2023-01-02 00:00:00,Ahmedabad,,,36.99,187.11
2023-01-02 00:00:00,Bengaluru,299.81,70.37,18.09,140.36125
2023-01-02 00:00:00,Bhopal,63.84,9.9,34.455,61.63900000000001
2023-01-02 00:00:00,Chandigarh,171.18,32.25,44.83,135.591
2023-01-02 00:00:00,Chennai,206.07000000000002,62.48,28.14,127.45150000000001
2023-01-02 00:00:00,Coimbatore,179.19,,32.2,107.19999999999999
2023-01-02 00:00:00,Delhi,167.15,,43.96,105.3375
2023-01-02 00:00:00,Hyderabad,131.79333333333332,,34.37,83.08166666666666
2023-01-02 00:00:00,Indore,118.285,50.39,24.5,94.97125
2023-01-02 00:00:00,Jaipur,195.45,67.8,32.47,166.053
2023-01-02 00:00:00,Kochi,209.6,,,209.6
2023-01-02 00:00:00,Kolkata,,99.35,31.78,95.92666666666666
2023-01-02 00:00:00,Lucknow,,80.595,39.265,59.93
2023-01-02 00:00:00,Madurai,182.76,,16.225,91.05875000000002
2023-01-02 00:00:00,Mumbai,138.335,19.06,28.945,57.974000000000004
2023-01-02 00:00:00,Nagpur,237.91,44.15,34.79,105.61666666666667
2023-01-02 00:00:00,Nashik,,82.06,4.44,153.09888888888887
2023-01-02 00:00:00,Patna,140.285,,9.02,150.96375
2023-01-02 00:00:00,Pune,161.2175,,48.87,103.14916666666666
2023-01-02 00:00:00,Surat,251.67,82.35,,226.29
2023-01-03 00:00:00,Ahmedabad,,,,228.9
2023-01-03 00:00:00,Bengaluru,169.35,87.905,26.25,96.41624999999999
2023-01-03 00:00:00,Bhopal,124.74,29.56,21.83,131.115
2023-01-03 00:00:00,Chandigarh,29.75,65.63,17.220000000000002,105.96416666666667
2023-01-03 00:00:00,Chennai,83.125,59.45,42.23,93.24499999999999
2023-01-03 00:00:00,Coimbatore,152.22,,13.36,147.62375000000003
2023-01-03 00:00:00,Delhi,134.22,16.47,,144.96666666666667
2023-01-03 00:00:00,Hyderabad,,98.55,33.385,78.12666666666667
2023-01-03 00:00:00,Indore,170.64,65.625,,97.86749999999999
2023-01-03 00:00:00,Jaipur,,62.44,,110.47499999999998
2023-01-03 00:00:00,Kochi,,,,241.15
2023-01-03 00:00:00,Kolkata,,48.42,12.54,78.8675
2023-01-03 00:00:00,Lucknow,,31.4,43.58,77.35
2023-01-03 00:00:00,Madurai,,,36.345,46.8925
2023-01-03 00:00:00,Mumbai,248.54999999999998,36.105,,142.3275
2023-01-03 00:00:00,Nagpur,107.75,,,102.40333333333335
2023-01-03 00:00:00,Nashik,130.892,,8.83,111.65466666666666
2023-01-03 00:00:00,Patna,,,,170.70749999999998
2023-01-03 00:00:00,Pune,31.09,55.845,,64.835
2023-01-03 00:00:00,Surat,177.96,,,143.13
2023-01-04 00:00:00,Ahmedabad,151.28,65.26,22.14,138.50216666666665
2023-01-04 00:00:00,Bengaluru,115.71,63.32,14.61,121.56933333333332
2023-01-04 00:00:00,Bhopal,,20.42,33.275,27.721666666666668
